label,x,y
Stroke 1,43,93
Stroke 1,45,112
Stroke 1,52,107
Stroke 2,93,109
Stroke 2,45,113
Stroke 2,41,132
Stroke 2,52,122
Stroke 2,94,122
Stroke 3,59,112
Stroke 3,69,114
Stroke 3,66,119
Stroke 3,65,130
Stroke 4,70,114
Stroke 4,82,113
Stroke 4,73,119
Stroke 4,72,130
Stroke 5,94,102
Stroke 5,107,80
Stroke 5,110,98
Stroke 5,148,117
Stroke 6,94,127
Stroke 6,102,151
Stroke 6,110,136
Stroke 6,149,119
Stroke 7,98,105
Stroke 7,107,106
Stroke 7,103,110
Stroke 7,102,116
Stroke 8,108,106
Stroke 8,114,107
Stroke 8,110,110
Stroke 8,109,118
Stroke 9,115,107
Stroke 9,121,106
Stroke 9,117,110
Stroke 9,116,117
Stroke 10,103,117
Stroke 10,116,118
Stroke 10,108,123
Stroke 10,108,133
Stroke 11,151,98
Stroke 11,154,117
Stroke 11,160,112
Stroke 11,199,113
Stroke 12,154,118
Stroke 12,150,135
Stroke 12,161,126
Stroke 12,200,126
Stroke 13,171,115
Stroke 13,184,115
Stroke 13,175,120
Stroke 13,175,131
Stroke 14,192,87
Stroke 14,216,88
Stroke 14,203,96
Stroke 14,202,106
Stroke 15,193,105
Stroke 15,216,106
Stroke 15,203,113
Stroke 15,203,148
