label,x,y
Stroke 1,77,108
Stroke 1,75,126
Stroke 1,83,119
Stroke 1,95,119
Stroke 2,94,110
Stroke 2,92,128
Stroke 2,100,120
Stroke 2,110,120
Stroke 3,99,113
Stroke 3,108,103
Stroke 3,105,113
Stroke 3,111,117
Stroke 4,96,135
Stroke 4,106,123
Stroke 4,104,134
Stroke 4,108,137
Stroke 5,110,98
Stroke 5,113,119
Stroke 5,121,114
Stroke 5,163,114
Stroke 6,113,120
Stroke 6,108,141
Stroke 6,121,130
Stroke 6,164,130
Stroke 7,155,92
Stroke 7,182,93
Stroke 7,166,103
Stroke 7,166,148
