label,x,y
Stroke 1,88,85
Stroke 1,87,113
Stroke 1,98,102
Stroke 1,151,103
Stroke 2,104,104
Stroke 2,120,105
Stroke 2,109,112
Stroke 2,110,144
Stroke 3,100,132
Stroke 3,98,159
Stroke 3,110,148
Stroke 3,153,148
Stroke 4,122,105
Stroke 4,123,119
Stroke 4,129,116
Stroke 4,152,116
Stroke 5,123,120
Stroke 5,122,130
Stroke 5,129,126
Stroke 5,152,126
Stroke 6,123,131
Stroke 6,119,145
Stroke 6,129,136
Stroke 6,152,137
Stroke 7,144,91
Stroke 7,170,92
Stroke 7,155,103
Stroke 7,155,147
Stroke 7,177,149
