label,x,y
Stroke 1,85,112
Stroke 1,104,92
Stroke 1,98,110
Stroke 1,105,116
Stroke 2,88,137
Stroke 2,104,119
Stroke 2,100,136
Stroke 2,108,142
Stroke 3,105,100
Stroke 3,107,118
Stroke 3,112,113
Stroke 3,124,112
Stroke 4,102,136
Stroke 4,107,120
Stroke 4,113,126
Stroke 4,124,126
Stroke 5,124,100
Stroke 5,125,117
Stroke 5,132,112
Stroke 5,170,113
Stroke 6,122,135
Stroke 6,126,118
Stroke 6,133,126
Stroke 6,170,125
Stroke 7,134,107
Stroke 7,153,88
Stroke 7,147,105
Stroke 7,154,112
Stroke 8,136,145
Stroke 8,152,128
Stroke 8,149,143
Stroke 8,157,150
