label,x,y
Stroke 1,79,135
Stroke 1,85,116
Stroke 1,92,124
Stroke 1,126,125
Stroke 2,84,112
Stroke 2,82,93
Stroke 2,91,108
Stroke 2,136,108
Stroke 3,119,136
Stroke 3,127,126
Stroke 3,129,134
Stroke 3,133,137
Stroke 4,128,124
Stroke 4,135,114
Stroke 4,137,123
Stroke 4,143,128
Stroke 5,137,112
Stroke 5,146,98
Stroke 5,144,114
Stroke 5,151,117
Stroke 6,133,139
Stroke 6,149,138
Stroke 6,155,115
Stroke 6,159,145
Stroke 7,150,91
Stroke 7,177,93
Stroke 7,161,103
Stroke 7,161,148
