label,x,y
Stroke 1,92,88
Stroke 1,92,116
Stroke 1,104,104
Stroke 1,148,102
Stroke 2,139,90
Stroke 2,164,91
Stroke 2,150,100
Stroke 2,149,109
Stroke 3,140,106
Stroke 3,165,107
Stroke 3,150,117
Stroke 3,149,148
Stroke 4,91,149
Stroke 4,96,122
Stroke 4,105,139
Stroke 4,147,143
Stroke 5,100,127
Stroke 5,114,113
Stroke 5,111,127
Stroke 5,116,133
Stroke 6,115,128
Stroke 6,127,115
Stroke 6,124,128
Stroke 6,128,132
Stroke 7,130,129
Stroke 7,140,117
Stroke 7,139,130
Stroke 7,144,133
